path,kind,detected_encoding,has_bom,is_binary,status,notes
.dockerignore,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
.env,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
.gitignore,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
AGENT.md,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
app.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/__init__.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/adapters/__init__.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/app.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/assist_models.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/catalog.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/__init__.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/api.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/orientation.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/persistence.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/pipeline.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/pipeline_v2.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/profiles.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/report.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/support_region.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/__init__.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/diagnostics.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/edge_pairs.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/fallback.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/geometry_guard.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/local_orientation.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/local_preprocess.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/methodologies.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/multiscale.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/pipeline.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/recenter.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/v3/support_roi.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
backend/diameter_research/validation.py,text,utf-8,false,false,ok,Matches repository standard UTF-8 without BOM.
